id;timestamp;charge;stationRef;vehicleRef
WSI3219904;2019/01/01 1:33:24;2,8;KO01;ED51EWW52190
TOB7336760;2019/01/01 1:37:35;2,8;OO12;AT19HLV57173
LDD7262109;2019/01/01 2:50:14;2,8;OO06;AT19HLV57173
NSR5538511;2019/01/01 5:23:14;3,1;AO07;DP11ENT03275
BDG6166982;2019/01/01 6:03:26;13,0;AO18;LG64ARC91224
YWD3967715;2019/01/01 6:09:30;2,5;MR06;QO68DIC93032
THF3239181;2019/01/01 6:10:38;1,3;OO12;XV40HUQ04740
DKZ3204266;2019/01/01 7:28:10;2,8;EG04;TV81MAQ99005
VSD5346273;2019/01/01 8:17:57;2,8;EG03;CP56DAO45598
UTI9677334;2019/01/01 8:52:43;3,1;AO13;DP11ENT03275
UIV0991172;2019/01/01 9:35:35;2,8;AO16;NO82BAX82566
BIM5756381;2019/01/01 9:53:45;2,8;KO08;QW79CHL42244
JVV5228001;2019/01/01 10:33:20;2,2;KO04;JO50FSF60755
TYV5505416;2019/01/01 10:41:24;1,0;KO08;WY00MLL63827
DVP9052273;2019/01/01 12:23:34;3,1;GF00;PF04UCA93312
RCN6097732;2019/01/01 12:45:45;2,8;GF00;IO09FGE68100
UPC0934127;2019/01/01 16:48:34;2,5;OO04;CP56DAO45598
UYS4444642;2019/01/01 16:52:38;2,8;NE09;QP02SYE47964
YOW7433640;2019/01/01 17:18:17;2,8;AO02;QN23UHH39091
JLS1333152;2019/01/01 17:41:56;1,5;EG08;CR31GMR97972
QGO0903208;2019/01/01 18:02:31;1,3;EG02;TE24LCO18661
IRK4760444;2019/01/01 19:39:38;1,5;EG11;MU06LHX94338
YZL7519880;2019/01/01 23:13:40;1,5;EG12;MU06LHX94338
XRS9245728;2019/01/01 23:35:51;2,2;KO06;HW75BKT77773
ADK8001607;2019/01/02 0:22:03;2,8;OO12;EM54HQI58682
ZLJ2429774;2019/01/02 0:39:29;2,0;EG07;CM15YCB60994
PFK3153908;2019/01/02 1:25:14;2,0;EG09;CM15YCB60994
OJF7533092;2019/01/02 2:21:10;1,0;NE09;FY47TUN40300
AYA2207372;2019/01/02 2:42:50;2,5;EG02;DW44ZOO26361
SUW7443304;2019/01/02 3:30:50;2,8;GF00;JE65QJK64802
NQU2005152;2019/01/02 4:18:07;2,8;AO18;RR73DWB65452
PZE1892597;2019/01/02 4:24:57;2,8;OO00;AT19HLV57173
AYH8728597;2019/01/02 4:28:14;13,0;GF00;QO68DIC93032
XJD2966445;2019/01/02 5:50:22;13,0;GF00;DO24BCW15511
HVQ7237032;2019/01/02 6:12:07;2,5;KO00;KB55KTM48860
NHY3086874;2019/01/02 7:11:08;2,0;AO15;YL27IFD65117
MGU4398755;2019/01/02 7:14:48;2,8;NE08;EG95RTB75032
GEM5057485;2019/01/02 7:28:36;2,8;OO12;AT19HLV57173
FFA6207327;2019/01/02 7:42:02;2,8;OO07;QR03XCJ37459
OLV7217348;2019/01/02 8:19:48;2,0;MR04;IZ65WAT29135
NKM7840606;2019/01/02 9:06:10;2,0;OO02;MX39VOS38645
QZY0176136;2019/01/02 10:20:54;2,5;OO01;QR03XCJ37459
LEV3798414;2019/01/02 11:04:12;2,8;OO04;RK48BOP88344
XCW7548977;2019/01/02 13:49:39;2,2;KO07;QO77TFN61853
SSH1766507;2019/01/02 14:10:33;1,0;NE15;MQ65WJJ60020
AWB9004088;2019/01/02 15:24:47;2,8;AO04;HT62RDI04611
SNO1901037;2019/01/02 16:40:43;13,0;AO15;BM25PHF40639
OCG0520265;2019/01/02 16:45:32;1,5;NE02;VX68BAR38623
PZY6450746;2019/01/02 19:54:38;2,0;MR00;IZ65WAT29135
SVP4480098;2019/01/02 19:54:58;2,8;OO07;RK48BOP88344
CKM4226732;2019/01/02 21:13:27;2,5;GF00;BY85QGR11636
KYZ7726118;2019/01/02 21:13:29;2,5;MR05;XV91YMP27722
BJS5915448;2019/01/02 21:36:00;1,0;AO11;BZ76ROL87339
ABE2129498;2019/01/02 21:47:17;1,0;AO14;BZ76ROL87339
